product,name,description,availability,sku,price,collection,keshi,metal,type
baroque-strand,Baroque Strand,"Paspaley 44.5cm choker length strand featuring 28, 13-16mm baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SCPQ1316001,49800,Strand,FALSE,Other,Necklace
gold-keshi-rhapsody,Gold Keshi Rhapsody,"Paspaley 240cm length Rhapsody strand featuring 275, 6-9mm multi coloured keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SUKQ0609005,78800,Other,TRUE,Other,Necklace
keshi-rope-strand-of-the-harvest,Keshi Rope Strand of The Harvest,"Paspaley Rope Pearl Strand necklace featuring 110, 8-10mm Australian Keshi South Sea Baroque pearls, and 1 yellow diamond. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SRKQ0810001,42800,Strand,TRUE,Other,Necklace
pearl-accessories-black-spinel-cascade-white-gold,Black Spinel Cascade - White Gold,"Paspaley 12 strand necklace in 18kt white gold, with black spinels. Length 43cm. Pearl sold separately.",In stock,C00N10W43,4290,Other,FALSE,White gold,Accessory
pearl-accessories-chalif-cascade-chain-yellow-gold,Chalif Cascade Chain - Yellow Gold,"Paspaley chain with 18kt yellow gold key ends. Length 42cm, width 2.7mm. Pearl sold separately.",In stock,C00C80Y2742,2460,Other,FALSE,Yellow gold,Accessory
pearl-accessories-fine-key-end-nitrile-white-gold,Fine Key End Nitrile - White Gold,"Paspaley nitrile cord featuring 18kt white gold key ends, width 3mm. Pearl sold separately.",In stock,DC00C50W30,390,Other,FALSE,White gold,Accessory
pearl-accessories-fine-key-end-nitrile-yellow-gold,Fine Key End Nitrile - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold key ends, width 3mm. Pearl sold separately.",In stock,DC00C50Y30,390,Other,FALSE,Yellow gold,Accessory
pearl-accessories-fine-mirror-trace-chain-rose-gold,Fine Mirror Trace Chain - Rose Gold,"Paspaley chain in 18kt rose gold, with 6 white diamonds on clasp (0.03ct), chain width 1.6mm.",In stock,DC00C00R16,740,Other,FALSE,Rose gold,Accessory
pearl-accessories-fine-mirror-trace-chain-white-gold,Fine Mirror Trace Chain - White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,DC00C00W16,650,Other,FALSE,White gold,Accessory
pearl-accessories-fine-mirror-trace-chain-yellow-gold,Fine Mirror Trace Chain - Yellow Gold,"Paspaley chain in 18kt yellow gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,DC00C00Y16,650,Other,FALSE,Yellow gold,Accessory
pearl-accessories-key-end-nitrile-yellow-gold,Key End Nitrile - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold key ends, width 5mm. Pearl sold separately.",In stock,DC00C50Y50,430,Other,FALSE,Yellow gold,Accessory
pearl-accessories-long-trace-chain-white-gold,Long Trace Chain - White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct). Length 80cm, width 1.5mm.",In stock,C12C01W1580,1290,Other,FALSE,White gold,Accessory
pearl-accessories-nitrile-bayonet-clasp-white-gold,Nitrile Bayonet Clasp - White Gold,"Paspaley nitrile cord featuring 18kt white gold bayonet clasp, width 3mm. Pendant sold separately.",In stock,DC00C55W30,390,Other,FALSE,White gold,Accessory
pearl-accessories-nitrile-bayonet-clasp-yellow-gold,Nitrile Bayonet Clasp - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold bayonet clasp, width 3mm. Pendant sold separately.",In stock,DC00C55Y30,390,Other,FALSE,Yellow gold,Accessory
pearl-accessories-omega-chain-white-gold,Omega Chain - White Gold,"Paspaley chain in 18kt white gold, width 1.5mm.",In stock,DC00C70W15,1210,Other,FALSE,White gold,Accessory
pearl-accessories-omega-chain-yellow-gold,Omega Chain - Yellow Gold,"Paspaley chain in 18kt yellow gold, width 1.5mm. Pendant sold separately.",In stock,DC00C70Y15,1160,Other,FALSE,Yellow gold,Accessory
pearl-accessories-paspaley-mother-of-pearl-shell,Paspaley Mother-of-Pearl shell,Paspaley Australian South Sea Mother of Pearl Shell.,In stock,C00A01,100,Other,FALSE,Other,Accessory
