product,name,description,availability,sku,price
baroque-strand,Baroque Strand,"Paspaley 44.5cm choker length strand featuring 28, 13-16mm baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SCPQ1316001,"AUD 49,800.00"
gold-keshi-rhapsody,Gold Keshi Rhapsody,"Paspaley 240cm length Rhapsody strand featuring 275, 6-9mm multi coloured keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SUKQ0609005,"AUD 78,800.00"
keshi-rope-strand-of-the-harvest,Keshi Rope Strand of The Harvest,"Paspaley Rope Pearl Strand necklace featuring 110, 8-10mm Australian Keshi South Sea Baroque pearls, and 1 yellow diamond. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SRKQ0810001,"AUD 42,800.00"
pearl-accessories-black-spinel-cascade-white-gold,Black Spinel Cascade - White Gold,"Paspaley 12 strand necklace in 18kt white gold, with black spinels. Length 43cm. Pearl sold separately.",In stock,SKU    C00N10W43,"AUD 4,290.00"
pearl-accessories-chalif-cascade-chain-yellow-gold,Chalif Cascade Chain - Yellow Gold,"Paspaley chain with 18kt yellow gold key ends. Length 42cm, width 2.7mm. Pearl sold separately.",In stock,SKU    C00C80Y2742,"AUD 2,460.00"
pearl-accessories-fine-key-end-nitrile-white-gold,Fine Key End Nitrile - White Gold,"Paspaley nitrile cord featuring 18kt white gold key ends, width 3mm. Pearl sold separately.",In stock,SKU    DC00C50W30,AUD 390.00
pearl-accessories-fine-key-end-nitrile-yellow-gold,Fine Key End Nitrile - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold key ends, width 3mm. Pearl sold separately.",In stock,SKU    DC00C50Y30,AUD 390.00
pearl-accessories-fine-mirror-trace-chain-rose-gold,Fine Mirror Trace Chain - Rose Gold,"Paspaley chain in 18kt rose gold, with 6 white diamonds on clasp (0.03ct), chain width 1.6mm.",In stock,SKU    DC00C00R16,AUD 740.00
pearl-accessories-fine-mirror-trace-chain-white-gold,Fine Mirror Trace Chain - White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,SKU    DC00C00W16,AUD 650.00
pearl-accessories-fine-mirror-trace-chain-yellow-gold,Fine Mirror Trace Chain - Yellow Gold,"Paspaley chain in 18kt yellow gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,SKU    DC00C00Y16,AUD 650.00
pearl-accessories-key-end-nitrile-yellow-gold,Key End Nitrile - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold key ends, width 5mm. Pearl sold separately.",In stock,SKU    DC00C50Y50,AUD 430.00
pearl-accessories-long-trace-chain-white-gold,Long Trace Chain - White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct). Length 80cm, width 1.5mm.",In stock,SKU    C12C01W1580,"AUD 1,290.00"
pearl-accessories-nitrile-bayonet-clasp-white-gold,Nitrile Bayonet Clasp - White Gold,"Paspaley nitrile cord featuring 18kt white gold bayonet clasp, width 3mm. Pendant sold separately.",In stock,SKU    DC00C55W30,AUD 390.00
pearl-accessories-nitrile-bayonet-clasp-yellow-gold,Nitrile Bayonet Clasp - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold bayonet clasp, width 3mm. Pendant sold separately.",In stock,SKU    DC00C55Y30,AUD 390.00
pearl-accessories-omega-chain-white-gold,Omega Chain - White Gold,"Paspaley chain in 18kt white gold, width 1.5mm.",In stock,SKU    DC00C70W15,"AUD 1,210.00"
