product,name,description,flowerydescription,availability,sku,price
baroque-pearl-strand,Baroque Pearl Strand Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl strand featuring twenty-six 12-14mm baroque pearls. 45.2cm choker length strand identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl. GIA certificate available.The ultimate icon of individuality this meticulously matched baroque pearl strand is an original expression of creative flair. A unique clasp mechanism enables you to instantaneously personalise this strand with any one of Paspaley's jewelled interchangeable clasps.",NA,NA,SCPQ1214005,"Starting from
                                                    
                                                        .rows-of-two .righty{
                                                            width: 100%; margin-top: 15px;
                                                        }
                                                    
                                                    
                                                    $30,800.00"
baroque-pearl-studs,Baroque Pearl Stud Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl ear studs featuring two 12mm baroque pearls set in 750 yellow gold.Asymmetrical allure. The abstract shape of these baroque pearls on their simple stud setting strike the perfect balance between originality and modern style.,NA,NA,C00E41YPQ12,"$2,580.00"
baroque-pearl-swap-13mm,13mm Baroque Pearl Swap | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl swap featuring one 13mm baroque pearl with 750 yellow gold mechanism.A lustrous baroque pearl worn with an interchangeable nitrile chord or cascade will instantly transform a casual look to express stunning originality. Nitrile chord and cascades available separately.,NA,NA,C00L01YPQ13,"$2,080.00"
baroque-pearl-swap-15mm,15mm Baroque Pearl Swap | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl swap featuring one 15mm baroque pearl with 750 yellow gold mechanism.The abstract appeal of a baroque pearl worn with an interchangeable nitrile chord or cascade will instantly transform a casual look to express stunning originality. Nitrile chord and cascade available separately.,NA,NA,C00L01YPQ15,"$3,080.00"
baroque-pearl-swap-17mm-white-gold,Baroque Pearl Swap Clasp | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl swap featuring one 17mm baroque pearl with 750 white gold mechanism.A single large lustrous baroque pearl worn with an interchangeable nitrile chord or cascade will instantly transform a casual look to express stunning originality. Nitrile chord and cascade available separately.,NA,NA,C00L01WPQ17,"$7,380.00"
baroque-pearl-swap,15mm Gold Baroque Pearl Swap | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl swap featuring one 15mm baroque pearl with 750 white gold mechanism.The abstract appeal of a baroque pearl worn with an interchangeable nitrile chord or cascade will instantly transform a casual look to express stunning originality. Nitrile chord and cascade available separately.,NA,NA,C00L01WPQ15,"$3,080.00"
baroque-strand-bracelet,Baroque Strand Bracelets | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl strand bracelet featuring twelve 13-14mm baroque pearls, identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.The ultimate expression of femininity, this unique baroque strand bracelet shows a woman's individuality. A unique clasp mechanism enables you to instantaneously personalise this strand bracelet with any one of Paspaley's jewelled interchangeable clasps.",NA,NA,SBPQ1314001,"$14,800.00"
bella-grand-pendant-white-gold,Bella Grand White Gold Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 15mm drop pearl set in 750 white gold. Chain available separately.Whether for work or weekend, this bold yet simple white gold bale will highlight your treasured pearl as the centre of attention.",NA,NA,C00P02WPD15,"$3,950.00"
bella-grand-pendant,Bella Grand Yellow Gold Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 15mm drop pearl set in 750 yellow gold. Chain available separately.Whether for work or weekend, this bold yet simple yellow gold bale will highlight your treasured pearl as the centre of attention.",NA,NA,C00P02YPD15,"$3,950.00"
cascade-chain-42cm-yellow-gold,Yellow Gold Chalif Cascade Chain 42cm | Gold Chain Necklace | Paspaley,"Paspaley classic chalif chain in 750 yellow gold with key ends, 2.7mm wide, length 42cm.Woven strands of yellow gold form this chalif chain which can be worn with your favourite Paspaley design clasp to create a unique necklace.",NA,NA,C00C80Y2742,"$2,460.00"
chalif-cascade-chain-42cm,Chalif Cascade Chain Yellow Gold Necklace | Gold Chains | Paspaley,"Paspaley classic cascade chain in stainless steel with 750 yellow gold key ends, 3.4mm wide, length 42cm.For a simple and understated look, accentuate a single pearl or a Paspaley pearl clasp with this stainless steel cascade.",NA,NA,C00C61F3442,$590.00
circle-pearl-strand,Circle Pearl Strand Bracelets | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl strand featuring thirty-four 13-14mm circle pearls.  44.5cm princess length strand identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.  GIA certificate available.The ultimate expression of femininity, this unique circle strand shows a woman's individuality. A unique clasp mechanism enables you to instantaneously personalise this strand with any one of Paspaley's jewelled interchangeable clasps.",NA,NA,SCPC1314003,"Starting from 
          
            .rows-of-two .righty{
              width: 100%; margin-top: 15px;
            }
          
          
           $11,800.00"
classic-bella-pendant-white-gold,Classic Bella White Gold Pendant Necklace | Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 13mm semi-round pearl set in 750 white gold. Chain available separately.This smart pearl pendant speaks of simplicity and modern style, perfect for everyday wear.",NA,NA,C00P04WPS13,"$2,980.00"
classic-circle-design-hook-earrings-white-gold,Classic White Gold Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 11mm circle pearls set in 750 white gold with white diamonds.Unique circle pearls dangle from a simple setting with a touch of sparkle for an elegant appeal. These earrings are as beautiful as they are practical, designed with a hook tail that flicks away from the face for ultimate comfort.",NA,NA,C00E26WPC11,"$2,150.00"
classic-circle-horse-shoe-earrings,Classic Yellow Gold Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 12mm circle pearls set in 750 yellow gold.Worn with your favourite corporate outfit or with your much loved jeans, these earrings add the finishing touch. Embrace the versatility of this design and remove the glowing circle pearls to reveal simple yellow gold hoops.",NA,NA,C00E31YPC12,"$2,380.00"
classic-cufflinks-white-gold,Classic White Gold Cufflinks | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl cufflinks featuring two 12mm keshi pearls set in 750 white gold.The raw shape of these keshi pearls adds a stylish masculine touch as their luminosity reflects the colour of the cuffs on which they are worn. Choose white gold for a modern look.,NA,NA,C00A01WKB12,"$2,780.00"
classic-cufflinks-yellow-gold,Classic Yellow Gold Cufflinks | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl cufflinks featuring two 12mm keshi pearls set in 750 yellow gold.The raw shape of these keshi pearls adds a stylish masculine touch as their luminosity reflects the colour of the cuffs on which they are worn. Choose yellow gold for a time-honoured look.,NA,NA,C00A01YKB12,"$2,780.00"
classic-dress-studs-white-gold,Classic White Gold Dress Studs | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl dress studs featuring four 8mm keshi pearls set in 750 white gold.A black tie occasion calls for a sleek and sophisticated look. Add these Paspaley dress studs as the finishing touch to a crisp white dress shirt.,NA,NA,C00A04WKQ08,"$2,280.00"
classic-grace-pendant,Classic Grace Pendant Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 14mm round pearl set in 750 yellow gold with one white diamond, total 0.25 carats.A perfectly round pearl complemented by a single sparkling diamond creates a distinctive touch of glamour for a simply elegant look.",NA,NA,C00P28YPR14,"$5,480.00"
classic-horse-shoe-earrings-white-gold,Classic White Gold Hoop Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 11mm oval pearls set in 750 white gold.Worn with your favourite corporate outfit or with your much loved jeans, these earrings add the finishing touch. Embrace the versatility of this design and remove the glowing pearls to reveal simple white gold hoops.",NA,NA,C00E31WPO11,"$3,580.00"
classic-horse-shoe-earrings,Classic Gold Horseshoe Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 11mm oval pearls set in 750 yellow gold.Worn with your favourite corporate outfit or with your much loved jeans, these earrings add the finishing touch. Embrace the versatility of this design and remove the glowing pearls to reveal simple yellow gold hoops.",NA,NA,C00E31YPO11,"$3,580.00"
classic-oval-shepherd-hook-earrings,Classic Shepherd Hook Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 10mm oval pearls set in 750 white gold.This simple shepherd hook design featuring soft oval pearls. This is a wonderful weekend or work accessory for minimalist style.,NA,NA,C00E42WPO10,"$2,780.00"
classic-ring-white-gold,Classic Diamond Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 11mm button pearl set in 750 white gold with white diamonds. Ring size 55, resize options available.Add a little luxury to your everyday look with this modern white gold and button pearl ring. Softly sparkling diamonds seamlessly set enhance the pearl's natural beauty.",NA,NA,C00R14WPB11,"$2,680.00"
classic-ring-yellow-gold,Classic Pearl & Diamond Gold Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 11mm button pearl set in 750 yellow gold with white diamonds. Ring size 55, resize options available.Add a little luxury to your everyday look with this warm yellow gold and button pearl ring. Softly sparkling diamonds seamlessly set in gold enhance the pearl's natural beauty.",NA,NA,C00R14YPB11,"$2,680.00"
classic-semi-round-horse-shoe-earrings-rose-gold,Classic Rose Gold Pearl Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 12mm semi-round pearls set in 750 rose gold.Worn with your favourite corporate outfit or with your much loved jeans, these earrings add the finishing touch. Embrace the versatility of this design and remove the beautiful perfect semi-round pearls to reveal simple yellow gold hoops.",NA,NA,C00E31RPS12,"$4,680.00"
classic-shepherd-hook-earrings-yellow-gold,Classic Pearl Gold Hook Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 11mm circle pearls set in 750 yellow gold.This simple shepherd hook design is a wonderful weekend or work accessory for minimalist style.,NA,NA,C00E42YPC11,"$1,280.00"
classic-shepherd-hook-earrings,Classic White Gold Hook Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 11mm circle pearls set in 750 white gold.This simple shepherd hook design is a wonderful weekend or work accessory for minimalist style.,NA,NA,C00E42WPC11,"$1,280.00"
classic-tie-pin,Classic White Gold Tie Pin | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl tie pin featuring one 11mm keshi pearl set in 750 white gold.A sharp alternative to a tie bar, this statement tie pin exudes class and refinement suitable for daily office wear or special occasions.",NA,NA,C00A06WPB11,"$1,380.00"
design-hook-earrings-white-gold,Diamond White Gold Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 12mm circle pearls set in 750 white gold.Understated elegance fused with ultimate comfort for daily wear. These earrings are as practical as they are beautiful, designed so that the hook tails flick away from the face, while featured circle pearls add a touch of character.",NA,NA,C00E27WPC12,"$1,650.00"
design-hook-earrings-yellow-gold,Diamond Gold Pearl Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 12mm circle pearls set in 750 yellow gold.Understated elegance fused with ultimate comfort for daily wear. These earrings are as practical as they are beautiful, designed so that the hook tails flick away from the face, while featured circle pearls add a touch of character.",NA,NA,C00E27YPC12,"$1,650.00"
dew-drop-earrings,Dew Drop Platinum Pearl Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 11mm round pearls set in 950 platinum with four white diamonds, total 0.40 carats.Add feminine chic to your jewellery box with these drop earrings featuring luminous round pearls that appear to delicately float on a fine chain.",NA,NA,K08E08PPR11,"$6,980.00"
dew-drop-necklace,Dew Drop Platinum Pearl Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl necklace featuring twenty-three 5-10mm keshi pearls set in 950 platinum with fifty-six white diamonds, total 1.23 carats.Sheer elegance. Luminous keshi pearls delicately scattered on a fine platinum chain create a fluid design for the ultimate feminine appeal. Perfect for the woman whose style is delicate sophistication.",NA,NA,K08N10PKQ05,"$16,800.00"
diamond-design-hook-earrings-white-gold,Diamond White Gold Pearl Earrings | South Sea Pearls | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 10mm oval pearls set in 750 white gold with white diamonds.Soft oval pearls dangle from a simple setting with a touch of sparkle for an elegant appeal. These earrings are as beautiful as they are practical, designed with a hook tail that flicks away from the face for ultimate comfort.",NA,NA,C00E26WPO10,"$3,650.00"
diamond-design-hook-earrings-yellow-gold,Diamond Gold Pearl Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 10mm oval pearls set in 750 yellow gold with white diamonds.Soft oval pearls dangle from a simple setting with a touch of sparkle for elegant appeal. These earrings are as practical as they are beautiful, designed with a hook tail that flicks away from the face for ultimate comfort.",NA,NA,C00E26YPO10,"$3,650.00"
diamond-horse-shoe-earrings-white-gold,White Gold Diamond Horseshoe Pearl Earrings | Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 11mm oval pearls set in 750 white gold with white diamonds.Inject style and glamour into everyday with these sparkling earrings that can be worn as they are or remove the lustrous oval pearl to reveal a dazzling diamond hoop.,NA,NA,C00E32WPO11,"$4,880.00"
diamond-horse-shoe-earrings-yellow-gold,Gold Diamond Horseshoe Pearl Earrings | South Sea Pearls | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 11mm oval pearls set in 750 yellow gold with white diamonds.Inject style and glamour into everyday with these sparkling earrings that can be worn as they are or remove the lustrous oval pearl to reveal a dazzling diamond hoop.,NA,NA,C00E32YPO11,"$4,880.00"
dolce-earrings-white-gold,White Gold Dolce Pearl Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 13mm round pearls set in 750 white gold.The unique short drop of these earrings enhance the beautiful symmetry of the round pearls. Team them with your round pearl strand for a formal look or with a simple charm bracelet for casual appeal.,NA,NA,G06E09WPR13,"$6,280.00"
dolce-earrings-yellow-gold,Yellow Gold Dolce Pearl Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 13mm round pearls set in 750 yellow gold.The unique short drop of these earrings enhance the beautiful symmetry of the round pearls. Team them with your round pearl strand for a formal look or with a simple charm bracelet for casual appeal.,NA,NA,G06E09YPR13,"$6,280.00"
dolce-pendant-white-gold,White Gold Dolce Pearl Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 14mm drop pearl set in 750 white gold. Chain available separately.The graceful pendant appears fluid as it suspends this drop-like pearl, creating a modern and feminine look.",NA,NA,G06P10WPD14,"$3,580.00"
dolce-pendant-yellow-gold,Gold Dolce Pendant Pearl Necklace | South Sea Pearls | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 14mm drop pearl set in 750 yellow gold. Chain available separately.The graceful pendant appears fluid as it suspends this drop-like pearl, creating a modern and feminine look.",NA,NA,G06P10YPD14,"$3,580.00"
dolce-ring,Pearl Dolce Gold Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 11mm drop pearl set in 750 yellow gold with forty-two white diamonds, total 0.20 carats. Ring size 55, resize options available.Subtly seductive, this ring coils around the finger as dazzling diamonds flow from the drop pearl with avant-garde flair.",NA,NA,G06R02YPD11,"$4,980.00"
embrace-the-sea-ring-white-gold,Embrace the Sea White Gold Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 10mm keshi pearl set in 750 white gold with sixteen white diamonds, total 0.29 carats. Ring size 55, resize options available.A delicate balance of simplicity and eloquence, this design embraces the sea to evoke life beneath the waves. Loved by women of all ages.",NA,NA,C00R12WKQ10,"$3,780.00"
embrace-the-sea-ring-yellow-gold,Embrace the Sea Gold Pearl Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 10mm keshi pearl set in 750 yellow gold with sixteen white diamonds, total 0.29 carats. Ring size 55, resize options available.A delicate balance of simplicity and eloquence, this design embraces the sea to evoke life beneath the waves. Loved by women of all ages.",NA,NA,C00R12YKQ10,"$3,780.00"
fine-mirror-trace-chain-42cm-white-gold,Fine Mirror Trace White Gold Chain | Gold Chain Necklace | Paspaley,"Paspaley classic mirror trace chain in 750 white gold, 1.6mm wide, length 42cm.This fine classic white gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant.",NA,NA,C00C00W1642,$690.00
fine-mirror-trace-chain-42cm-yellow-gold,Fine Mirror Trace Yellow Gold Chain | Gold Chain Necklace | Paspaley,"Paspaley classic mirror trace chain in 750 yellow gold, 1.6mm wide, length 42cm.This fine classic yellow gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant.",NA,NA,C00C00Y1642,$690.00
fine-mirror-trace-chain-45cm-rose-gold,Fine Mirror Trace Rose Gold Chain | Gold Chain Necklace | Paspaley,"Paspaley classic mirror trace chain in 750 rose gold, 1.6mm wide, length 45cm.This fine classic rose gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant.",NA,NA,C00C00R1645,$740.00
fine-mirror-trace-chain-45cm-white-gold,Fine Mirror Trace White Gold Chain 45cm | Gold Chain Necklace,"Paspaley classic mirror trace chain in 750 white gold, 1.6mm wide, length 45cm.This fine classic white gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant.",NA,NA,C00C00W1645,$740.00
fine-mirror-trace-chain-45cm-yellow-gold,Fine Mirror Trace Yellow Gold Chain 45cm | Gold Chain Necklace,"Paspaley classic mirror trace chain in 750 yellow gold, 1.6mm wide, length 45cm.This fine classic yellow gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant.",NA,NA,C00C00Y1645,$740.00
fine-nitrile-cord-42cm-white-gold-bayonet,Fine Nitrile Cord-42cm,"Paspaley classic nitrile cord with 750 white gold bayonet clasp, 3mm wide, length 42cm.A bold alternative to a classic chain, this nitrile cord, featuring a white gold bayonet clasp, will transform a traditional pendant into a contemporary necklace that is perfect for day wear.",NA,NA,C00C55W3042,$390.00
fine-nitrile-cord-42cm-white-gold,White Gold Fine Nitrile Cord 42cm | Gold Chain Necklace | Paspaley,"Paspaley classic nitrile cord with 750 white gold key ends, 3mm wide, length 42cm.A must-have accessory, this nitrile cord is perfectly finished with white gold key ends and can be worn with a single pearl for a smart casual look.",NA,NA,C00C50W3042,$390.00
fine-nitrile-cord-42cm-yellow-gold-bayonet,Fine Nitrile Cord-42cm,"Paspaley classic nitrile cord with 750 yellow gold bayonet clasp, 3mm wide, length 42cm.A bold alternative to a classic chain, this nitrile cord, featuring a yellow gold bayonet clasp, will transform a traditional pendant into a contemporary necklace that is perfect for day wear.",NA,NA,C00C55Y3042,$390.00
fine-nitrile-cord-42cm-yellow-gold,Yellow Gold Fine Nitrile Cord 42cm | Gold Chain Necklace | Paspaley,"Paspaley classic nitrile cord with 750 yellow gold key ends, 3mm wide, length 42cm.A must-have accessory, this nitrile cord is perfectly finished with yellow gold key ends and can be worn with a single pearl for a smart casual look.",NA,NA,C00C50Y3042,$390.00
fine-nitrile-cord-45cm-white-gold-bayonet,Fine Nitrile Cord-45cm,"Paspaley classic nitrile cord with 750 white gold bayonet clasp, 3mm wide, length 45cm.A bold alternative to a classic chain, this nitrile cord, featuring a white gold bayonet clasp, will transform a traditional pendant into a contemporary necklace that is perfect for day wear.",NA,NA,C00C55W3045,$390.00
fine-nitrile-cord-45cm-white-gold,Fine Nitrile Cord-45cm,"Paspaley classic nitrile cord with 750 white gold key ends, 3mm wide, length 45cm.A must-have accessory, this nitrile cord is perfectly finished with white gold key ends and can be worn with a single pearl for a smart casual look.",NA,NA,C00C50W3045,$390.00
fine-nitrile-cord-45cm-yellow-gold-bayonet,Fine Nitrile Cord-45cm,"Paspaley classic nitrile cord with 750 yellow gold bayonet clasp, 3mm wide, length 45cm.A bold alternative to a classic chain, this nitrile cord, featuring a yellow gold bayonet clasp, will transform a traditional pendant into a contemporary necklace that is perfect for day wear.",NA,NA,C00C55Y3045,$390.00
fine-nitrile-cord-45cm-yellow-gold,Fine Nitrile Cord-45cm,"Paspaley classic nitrile cord with 750 yellow gold key ends, 3mm wide, length 45cm.A must-have accessory, this nitrile cord is perfectly finished with yellow gold key ends and can be worn with a single pearl for a smart casual look.",NA,NA,C00C50Y3045,$390.00
grace-earrings-yellow-gold,Grace Earrings,"Paspaley Australian South Sea pearl earrings featuring two 11mm round pearls set in 750 yellow gold with two white diamonds, total 0.20 carats.These luxurious earrings have a timeless appeal. Luminous round pearls are accentuated by sparkling diamonds on a simple hook crafted from yellow gold for a subtle touch of glamour.",NA,NA,C00E44YPR11,"$5,980.00"
grace-earrings,Grace Earrings,"Paspaley Australian South Sea pearl earrings featuring two 11mm round pearls set in 750 white gold with two white diamonds, total 0.20 carats.These luxurious earrings have a timeless appeal. Luminous round pearls are accentuated by sparkling diamonds on a simple hook crafted from white gold for a subtle touch of glamour.",NA,NA,C00E44WPR11,"$5,980.00"
